=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:31.000] [R4] read: "Readers and writers must coordinate access to shared data."
[22:42:31.002] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:42:31.009] [W4] wrote: "Operating systems manage hardware and software resources."
[22:42:31.021] [R2] read: "Operating systems manage hardware and software resources."
[22:42:31.022] [W2] wrote: "X"
[22:42:31.023] [R4] read: "X"
[22:42:31.023] [R5] read: "X"
[22:42:31.024] [W6] wrote: "X"
[22:42:31.033] [R1] read: "X"
[22:42:31.033] [R3] read: "X"
[22:42:31.042] [R2] read: "X"
[22:42:31.042] [W4] wrote: "X"
[22:42:31.043] [W7] wrote: "Race!"
[22:42:31.047] [W3] wrote: "X"
[22:42:31.067] [R5] read: "X"
[22:42:31.068] [W5] wrote: "Race!"
[22:42:31.069] [R3] read: "Race!"
[22:42:31.073] [R4] read: "Race!"
[22:42:31.074] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.079] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.084] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.090] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.097] [W1] wrote: "Race!"
[22:42:31.100] [R5] read: "Race!"
[22:42:31.104] [R3] read: "Race!"
[22:42:31.112] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.123] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:31.123] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.127] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.136] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.137] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.138] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:31.141] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:42:31.147] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:42:31.156] [R3] read: "Readers and writers must coordinate access to shared data."
[22:42:31.156] [R5] read: "Readers and writers must coordinate access to shared data."
[22:42:31.162] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:31.165] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:42:31.168] [R4] read: "Pthread library provides powerful threading primitives."
[22:42:31.182] [R2] read: "Pthread library provides powerful threading primitives."
[22:42:31.183] [R1] read: "Pthread library provides powerful threading primitives."
[22:42:31.192] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:31.193] [W5] wrote: "Pthread library provides powerful threading primitives."
